data_job_titles,french_title,PCS_group_tim,PCS_french,PCS_code,INSEE_label,Income_moyen_EQTP,income_mois,source
journalist,journaliste,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35B,,,"2 324,00",https://fr.talent.com/salary?job=journaliste
author,auteur/auteure,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35B,,,"3 125,00",https://fr.talent.com/salary?job=auteur
professor,professeur/professeure,Professors and higher scientific professions,Professeurs et professions scientifiques supérieures,34,,,"3 180,00",https://fr.talent.com/salary?job=professeur
consultant,consultant/consultante,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"3 167,00",https://fr.talent.com/salary?job=consultant
editor,éditeur/éditrice,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,"3 953,00",https://fr.talent.com/salary?job=%C3%A9diteur
communications manager,responsable de la communication,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"3 235,00",https://fr.talent.com/salary?job=responsable+de+la+communication
ceo,ceo,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"4 167,00",https://fr.talent.com/salary?job=ceo
attorney,Avocat,Legal professions,Professions libérales juridiques et techniques,31,,,"3 762,00",https://fr.talent.com/salary?job=comptable
engineer,ingénieur,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"3 333,00",https://fr.talent.com/salary?job=comptable
entrepreneur,entrepreneur,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"3 413,00",https://fr.talent.com/salary?job=comptable
city ​​councilor,conseiller Municipal,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,,https://fr.talent.com/salary?job=comptable
human resources,RH,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"2 401,00",https://fr.talent.com/salary?job=comptable
researcher,chercheur,Professors and higher scientific professions,Professeurs et professions scientifiques supérieures,34,,,"3 088,00",https://fr.talent.com/salary?job=comptable
photographer,photographe,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,"2 083,00",https://fr.talent.com/salary?job=comptable
artist,artist,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,"2 401,00",https://fr.talent.com/salary?job=comptable
mayor,maire,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,,https://fr.talent.com/salary?job=comptable
lawyer,juriste,Legal professions,Cadres spécialistes des fonctions administratives et financières,37B,,,"2 997,00",https://fr.talent.com/salary?job=comptable
project manager,Chef de projet,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"3 495,00",https://fr.talent.com/salary?job=comptable
coach,coach,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"2 745,00",https://fr.talent.com/salary?job=comptable
animator,animateur/animatrice,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,"2 201,00",https://fr.talent.com/salary?job=comptable
nurse,Infirmièr/infirmière,Other,,,,,"2 500,00",https://fr.talent.com/salary?job=comptable
blogger,blogeur/blogeuse,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,"2 500,00",https://www.metier.org/salaire-blogueur/
member of parliament,Députée,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,"5 800,00",https://www.radiofrance.fr/franceinter/salaire-d-un-depute-francais-indemnites-retraite-et-remuneration-6756364
actor,acteur,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,"3 271,00",https://fr.talent.com/salary?job=comptable
developer,développeur,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"3 333,00",https://fr.talent.com/salary?job=comptable
designer,Designer,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"3 240,00",https://fr.talent.com/salary?job=comptable
physician,Médecin,Other,,,,,"5 617,00",https://fr.talent.com/salary?job=comptable
regional councilor,Conseil régional,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,"2 722,00",https://www.data.gouv.fr/fr/datasets/indemnites-des-elus-du-conseil-regional/
producer,producteur,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,"2 583,00",https://fr.talent.com/salary?job=comptable
